index,size,date,dob,tree,treat
1,4.51,11/13/2003,9/15/1999,1,ozone
2,4.98,6/2/2000,8/28/1995,1,ozone
3,5.41,1/24/1992,7/24/1986,1,ozone
4,5.9,4/19/1990,1/31/1984,1,ozone
5,6.15,5/12/1993,4/19/1986,1,ozone
6,4.24,3/21/1997,1/21/1993,2,ozone
7,4.2,8/15/1997,11/9/1992,2,ozone
8,4.68,12/22/2004,6/22/1999,2,ozone
9,4.92,4/28/1997,2/9/1991,2,ozone
10,4.96,2/3/2007,1/11/2000,2,ozone
11,3.98,9/12/1990,7/15/1986,3,ozone
12,4.36,11/26/1999,2/20/1995,3,ozone
13,4.79,10/16/1990,4/15/1985,3,ozone
14,4.99,11/7/2003,8/20/1997,3,ozone
15,5.03,4/18/1993,3/26/1986,3,ozone
16,4.36,7/17/2005,5/19/2001,4,ozone
17,4.77,1/1/1990,3/28/1985,4,ozone
18,5.1,7/12/1996,1/10/1991,4,ozone
19,5.3,5/4/2000,2/15/1994,4,ozone
20,5.36,5/30/1994,5/7/1987,4,ozone
21,4.34,5/23/1993,3/25/1989,5,ozone
22,4.95,7/27/2004,10/22/1999,5,ozone
23,5.42,3/11/2004,9/9/1998,5,ozone
24,5.97,5/11/2001,2/22/1995,5,ozone
25,6.28,7/14/1994,6/21/1987,5,ozone
26,4.59,10/26/2006,8/28/2002,6,ozone
27,5.08,4/17/1999,7/12/1994,6,ozone
28,5.36,11/15/2001,5/15/1996,6,ozone
29,5.76,4/8/1995,1/19/1989,6,ozone
30,6,8/14/2008,7/22/2001,6,ozone
31,4.41,4/23/1989,2/23/1985,7,ozone
32,4.56,4/26/1997,7/21/1992,7,ozone
33,4.95,6/14/1996,12/13/1990,7,ozone
34,5.23,7/16/2007,4/28/2001,7,ozone
35,5.33,9/12/1989,8/20/1982,7,ozone
36,4.24,10/5/1992,8/7/1988,8,ozone
37,4.64,6/1/1987,8/26/1982,8,ozone
38,4.95,4/1/1996,9/30/1990,8,ozone
39,5.38,3/17/2002,12/29/1995,8,ozone
40,5.48,6/2/1999,5/9/1992,8,ozone
41,4.82,8/1/2003,6/3/1999,9,ozone
42,5.17,12/22/1999,3/18/1995,9,ozone
43,5.76,6/12/2008,12/11/2002,9,ozone
44,6.12,9/15/2004,6/29/1998,9,ozone
45,6.24,6/11/2010,5/19/2003,9,ozone
46,3.84,3/31/1993,1/31/1989,10,ozone
47,4.17,9/15/2000,12/11/1995,10,ozone
48,4.67,9/8/1997,3/8/1992,10,ozone
49,4.67,11/6/2006,8/19/2000,10,ozone
50,4.8,7/5/2001,6/12/1994,10,ozone
51,4.07,10/15/1998,8/17/1994,11,ozone
52,4.31,6/3/2005,8/28/2000,11,ozone
53,4.9,5/18/1993,11/16/1987,11,ozone
54,5.1,1/22/2002,11/5/1995,11,ozone
55,5.1,10/27/2001,10/4/1994,11,ozone
56,4.28,12/5/1986,10/7/1982,12,ozone
57,4.8,7/16/1997,10/10/1992,12,ozone
58,5.27,6/26/2007,12/24/2001,12,ozone
59,5.55,2/11/2004,11/24/1997,12,ozone
60,5.65,8/30/1998,8/7/1991,12,ozone
61,4.47,2/19/2002,12/22/1997,13,ozone
62,4.89,3/22/2007,6/16/2002,13,ozone
63,5.23,5/8/1992,11/6/1986,13,ozone
64,5.55,6/3/2005,3/17/1999,13,ozone
65,5.74,8/10/2009,7/18/2002,13,ozone
66,4.46,5/18/2000,3/20/1996,14,ozone
67,4.84,6/14/2007,9/8/2002,14,ozone
68,5.11,5/28/1990,11/25/1984,14,ozone
69,5.34,6/18/2004,4/1/1998,14,ozone
70,5.46,8/2/1993,7/10/1986,14,ozone
71,4.6,8/8/1992,6/10/1988,15,ozone
72,4.08,5/4/2007,7/29/2002,15,ozone
73,4.17,6/19/1992,12/18/1986,15,ozone
74,4.35,11/25/2003,9/7/1997,15,ozone
75,4.59,7/22/1998,6/29/1991,15,ozone
76,3.73,11/23/2006,9/25/2002,16,ozone
77,4.15,3/3/1998,5/28/1993,16,ozone
78,4.61,6/14/1997,12/13/1991,16,ozone
79,4.87,6/30/2007,4/12/2001,16,ozone
80,4.93,9/9/1999,8/16/1992,16,ozone
81,4.67,4/22/1999,2/22/1995,17,ozone
82,4.88,1/31/1992,4/27/1987,17,ozone
83,5.18,1/24/1999,7/24/1993,17,ozone
84,5.34,2/5/2008,11/18/2001,17,ozone
85,5.49,10/30/2010,10/7/2003,17,ozone
86,2.96,10/17/2005,8/19/2001,18,ozone
87,3.47,5/15/1987,8/9/1982,18,ozone
88,3.76,1/13/2007,7/13/2001,18,ozone
89,3.89,12/19/1992,10/2/1986,18,ozone
90,4.3,1/23/1998,12/31/1990,18,ozone
91,3.24,5/29/2000,3/31/1996,19,ozone
92,3.93,1/19/2000,4/15/1995,19,ozone
93,4.76,8/30/1995,2/27/1990,19,ozone
94,4.62,6/22/1994,4/4/1988,19,ozone
95,4.64,4/24/1990,4/1/1983,19,ozone
96,4.36,6/8/2005,4/10/2001,20,ozone
97,4.77,6/19/1997,9/13/1992,20,ozone
98,5.02,1/23/2008,7/23/2002,20,ozone
99,5.26,8/8/1988,5/22/1982,20,ozone
100,5.45,11/9/2008,10/17/2001,20,ozone
101,4.04,5/7/1994,3/9/1990,21,ozone
102,4.64,12/31/2002,3/27/1998,21,ozone
103,4.86,1/13/1992,7/13/1986,21,ozone
104,5.09,11/30/2008,9/13/2002,21,ozone
105,5.25,3/27/2006,3/4/1999,21,ozone
106,3.53,9/3/1996,7/6/1992,22,ozone
107,4.25,10/22/1988,1/17/1984,22,ozone
108,4.68,6/3/1988,12/2/1982,22,ozone
109,4.97,8/27/2006,6/9/2000,22,ozone
110,5.18,4/18/2003,3/25/1996,22,ozone
111,4.22,4/27/1996,2/28/1992,23,ozone
112,4.69,2/2/2007,4/29/2002,23,ozone
113,5.07,8/25/2003,2/22/1998,23,ozone
114,5.37,10/19/2006,8/1/2000,23,ozone
115,5.58,5/6/1999,4/12/1992,23,ozone
116,2.79,12/2/2004,10/4/2000,24,ozone
117,3.1,11/4/1994,1/29/1990,24,ozone
118,3.3,11/7/2000,5/8/1995,24,ozone
119,3.38,1/18/1994,11/1/1987,24,ozone
120,3.55,6/14/2002,5/22/1995,24,ozone
121,3.3,4/3/1987,2/3/1983,25,ozone
122,3.9,7/6/2008,10/1/2003,25,ozone
123,4.34,4/12/1990,10/10/1984,25,ozone
124,4.96,2/20/1998,12/4/1991,25,ozone
125,5.4,5/18/1997,4/25/1990,25,ozone
126,3.34,2/13/1998,12/16/1993,26,ozone
127,3.81,1/2/2002,3/29/1997,26,ozone
128,4.21,9/6/1994,3/6/1989,26,ozone
129,4.54,11/7/1998,8/20/1992,26,ozone
130,4.86,7/10/2001,6/17/1994,26,ozone
131,3.76,3/2/2004,1/3/2000,27,ozone
132,4.36,5/12/2004,8/7/1999,27,ozone
133,4.7,7/6/1989,1/4/1984,27,ozone
134,5.44,3/18/1997,12/30/1990,27,ozone
135,5.32,9/30/1992,9/7/1985,27,ozone
136,4.49,12/8/1992,10/10/1988,28,ozone
137,4.76,12/24/1990,3/20/1986,28,ozone
138,5.15,2/24/1996,8/24/1990,28,ozone
139,5.37,3/25/2004,1/6/1998,28,ozone
140,5.56,11/21/2008,10/29/2001,28,ozone
141,4.88,5/10/1993,3/12/1989,29,ozone
142,5.14,3/29/2006,6/23/2001,29,ozone
143,5.52,1/16/1988,7/16/1982,29,ozone
144,6.08,12/28/1999,10/10/1993,29,ozone
145,6.17,4/2/1995,3/9/1988,29,ozone
146,4.88,11/9/1997,9/11/1993,30,ozone
147,5.32,11/6/1989,1/31/1985,30,ozone
148,5.63,9/26/2007,3/26/2002,30,ozone
149,5.75,9/3/1989,6/17/1983,30,ozone
150,5.94,3/5/2006,2/10/1999,30,ozone
151,3.8,7/15/1999,5/17/1995,31,ozone
152,4.16,1/5/1996,4/1/1991,31,ozone
153,4.45,7/26/2002,1/23/1997,31,ozone
154,4.89,5/23/2003,3/5/1997,31,ozone
155,5.05,6/26/1998,6/3/1991,31,ozone
156,4.46,10/14/1987,8/16/1983,32,ozone
157,4.62,10/22/1995,1/16/1991,32,ozone
158,5,12/12/1988,6/12/1983,32,ozone
159,5.4,6/6/1995,3/19/1989,32,ozone
160,5.49,7/29/2005,7/6/1998,32,ozone
