marker_accession	marker_type_name	chr_id	chr_pos	p_value	pubmed_id	author	journal	pubmed_link	study	allele	trait	gene	or_per_copy	platform	ci_95	chr_location	initial_size	replicate_size	merged	cur_snp_id	snp_gene_symbols	snp_gene_ids	snp_gene_validated
3934834	SNP	1	1005805	6e-07	19851299	Johansson A	Obesity (Silver Spring)	http://www.ncbi.nlm.nih.gov/pubmed/19851299?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&amp;ordinalpos=4	Linkage and genome-wide association analysis of obesity-related phenotypes: association of weight with the MGAT1 gene.	G	Body mass index		0.11	Illumina [318,237]		1p36.33	Up to 3,925 European individuals		0	3934834			
425277	SNP	1	2069171	2e-08	20881960	Lango Allen H	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	T	Height	PRKCZ	0.02	Affymetrix,  Illumina [2,834,208] (imputed)			133,653 European ancestry individuals	50,074 European ancestry individuals	0	425277	PRKCZ	5590	1
3753242	SNP	1	2069680	1e-06	21107309	McClay JL	Neuropsychopharmacology	http://www.ncbi.nlm.nih.gov/pubmed/21107309	Genome-wide pharmacogenomic study of neurocognition as an indicator of antipsychotic treatment response in schizophrenia.	?	Reasoning	PRKCZ		Affymetrix [492,900]		1p36.33	738 schizophrenia cases		0	3753242	PRKCZ	5590	1
2477686	SNP	1	2392647	6e-12	22197933	Hu Z	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22197933	A genome-wide association study in Chinese men identifies three risk loci for non-obstructive azoospermia.	?	Non-obstructive azoospermia	PEX10, MMEL1	1.39	Affymetrix [587,347]	[1.26-1.52]		981 Chinese ancestry cases, 1,657 Chinese ancestry controls.	1,946 Chinese ancestry cases, 4,077 Chinese ancestry controls.	0	2477686			
734999	SNP	1	2513215	3e-09	21297633	Anderson CA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21297633	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	C	Ulcerative colitis	TNFRSF14, MMEL1, PLCH2, C1orf93	1.05	Affymetrix &amp; Illumina [~1.1 million] (imputed)	[1.01-1.09]	1p36.32	6,687 European ancestry cases, 19,718 European ancestry controls	9,628 European ancestry cases, 12,917 European ancestry controls	0	734999			
3748816	SNP	1	2526745	3e-09	20190752	Dubois PC	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20190752	Multiple common variants for celiac disease influencing immune gene expression.	?	Celiac disease	TNFRSF14, MMEL1	1.12	Illumina [292,387]	[1.09-1.18]	1p36.32	4,533 European descent cases, 10,750 European descent controls	4,918 European descent cases, 5,684 European descent controls	0	3748816	MMEL1	79258	1
3890745	SNP	1	2553623	4e-06	20453842	Stahl EA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20453842	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.	T	Rheumatoid arthritis	TNFRSF14	1.12	Affymetrix &amp; Illumina [~2,716,259] (imputed)	[1.06-1.18]	1p36.32	5,539 European ancestry cases, 20,169 European ancestry controls	6,768 European ancestry cases, 8,806 European ancestry controls	0	3890745	MMEL1	79258	1
3890745	SNP	1	2553623	1e-07	18794853	Raychaudhuri S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18794853?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants at CD40 and other loci confer risk of rheumatoid arthritis.	T	Rheumatoid arthritis	MMEL1,TNFRSF14	1.12	Illumina[818,728]Affymetrix[~340,000](imputed)		1p36.32	3,393 cases,12,460 controls	3,929 cases,5,807 controls	0	3890745	MMEL1	79258	1
4648356	SNP	1	2709163	1e-14	21833088	Sawcer S	Nature	http://www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	C	Multiple sclerosis	MMEL1	1.14	Illumina [465,434]	[1.12-1.16]		9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	0	4648356			
2651899	SNP	1	3083711	4e-09	21666692	Chasman DI	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21666692	Genome-wide association study reveals three susceptibility loci for common migraine in the general population.	C	Migraine	PRDM16	1.11	Illumina and Affymetrix [2,608,509] (imputed)	[1.07-1.15]		5,122 European ancestry cases, 18,108 European ancestry controls	3,831 European ancestry cases, 13,889 European ancestry controls	0	2651899	PRDM16	63976	1
